Owner,main_model_name,to_compare,major_largefile,major_readme,actual_changes
plgrm720,plgrm720/tokipona_to_eng_model_v1,plgrm720/tokipona_to_eng_model_v1.1,Different,Different,successor readme-deletion
Prasadrao,Prasadrao/xlm-roberta-large-go-emotions-v3,Prasadrao/xlm-roberta-large-go-emotions-v2,Different,Different,successor dataset-inclusion
qnguyen3,qnguyen3/quan-1.8b-base-v2,qnguyen3/quan-1.8b-base,Different,Different,successor base-model-changed
recoilme,recoilme/insomnia_v1,recoilme/insomnia_v2,Different,Different,successor used-library-inclusion
rhplus0831,rhplus0831/maid-yuzu-v1,rhplus0831/maid-yuzu-v2,Different,Different,successor base-model-changed
rhysjones,rhysjones/phi-2-orange-v2,rhysjones/phi-2-orange,Different,Different,"successor task-inclusion
successor datasets-inclusion
successor metrics-inclusion 
successor result-inclusion"
saileshaman,saileshaman/t5-small-finetuned-dialogsum-v3,saileshaman/t5-small-finetuned-dialogsum-v2,Different,Different,successor readme-inclusion
Shakhovak,Shakhovak/flan-t5-base-sheldon-chat-v2,Shakhovak/flan-t5-base-sheldon-chat,Different,Different,successor metrics-removed
ShynBui,ShynBui/comment_classification_v2,ShynBui/comment_classification,Different,Different,successor base-model-changed
sjrhuschlee,sjrhuschlee/deberta-v3-base-squad2-ext-v1,sjrhuschlee/deberta-v3-base-squad2,Different,Different,"successor dataset-increased
successor result-changed"
stabilityai,stabilityai/stablelm-base-alpha-3b-v2,stabilityai/stablelm-base-alpha-3b,Different,Different,successor dataset-inclusion
surprisedPikachu007,surprisedPikachu007/search_summarize_v1,surprisedPikachu007/mt5-small-search-summarizer,Different,Different,successor readme-inclusion
Swarnava,Swarnava/T5_base_title_v2,Swarnava/T5_base_title,Different,Different,model name changed
T-Systems-onsite,T-Systems-onsite/mt5-small-sum-de-en-v2,deutsche-telekom/mt5-small-sum-de-en-v1,Different,Different,successor dataset-decreased
tartuNLP,tartuNLP/EstBERT_NER_v2,tartuNLP/EstBERT_NER,Different,Different,successor base-model-changed
