Owner,model_name
Tamnemtf,Tamnemtf/Ae-calem-mistral-7b-v0.1
yoonyoon,yoonyoon/mm-model-DPO-v0.1
feilongfl,feilongfl/Mistral-7B-cn_news-v0.1
adonlee,adonlee/LLaMA_2_13B_SFT_v1.5
arentz,arentz/spambutcher_mistral_7b-v0.2
rendchevi,rendchevi/roberta-per-v0.1
David-Xu,David-Xu/cira-7b-dpo-lora-merge-v0.1
mu0gum,mu0gum/AIFT-42dot-LLM-PLM-1.3B-instruct-slim-v1.5
ayeshgk,ayeshgk/codet5-small-ft-v10.1
sreeramajay,sreeramajay/TinyLlama-1.1B-step-1431k-orca-dpo-v1.0
wolfram,wolfram/miquliz-120b-v2.0
JYKIM-AI,JYKIM-AI/Mistral-7B-SFT-v0.1
Sam2x,Sam2x/Mistral_OpenArabic_v0.2
rkumar56,rkumar56/ncp-base-v0.1
kmok1,kmok1/cs_m2m_0.01_50_v0.2
AIFT,AIFT/AIFT-instruct-SFT-1.3B-v1.1
mrzeiss,mrzeiss/AMN-v0.2-Mistral-7B-Instruct-v0.2
michaelfeil,michaelfeil/bge-small-en-v1.5
atatavana,atatavana/passive_invoice_classifier_v2.1
AdityaXPV,AdityaXPV/llama-2-7b-law-sage-v0.2
eclipsemint,eclipsemint/kollama2-7b-v0.4
RJuro,RJuro/kanelsnegl-v0.1
NTQAI,NTQAI/chatntq-ja-7b-v1.0
mwitiderrick,mwitiderrick/open_llama_3b_glaive_code_v0.1
tourist800,tourist800/Mistral-7B-Merge-14-v0.2
freewheelin,freewheelin/free-solar-instrunction-v0.2
snorkelai,snorkelai/Mistral-7B-Instruct-v0.2
cancelself,cancelself/Finetuned-Mistral-7B-v0.1
nkia-lab2,nkia-lab2/yanolja-lima-v0.2
NovoCode,NovoCode/Mistral-NeuralDPO-v0.2
fxmeng,fxmeng/llava-mistral-7b-instruct-v0.2
anik424,anik424/OpenHermes-2.5-Mistral-7B_toxic-removed-dpo-v0.2
indischepartij,indischepartij/MiniCPM-3B-Hercules-v2.0
ONS-AI-RESEARCH,ONS-AI-RESEARCH/ONS-SOLAR-10.7B-v1.1
LI-ST,LI-ST/Mistral-7B-ko-v0.1
Tijmen2,Tijmen2/cosmosage_v0.2
OpenSafetyLab,OpenSafetyLab/MD-Judge-v0.1
allstax,allstax/CodeExplainer-7b-v0.1
nomic-ai,nomic-ai/nomic-embed-text-v1.5
PMrtn,PMrtn/falcon-7b-instruct-QLoRA_PrefixTune_v3.1
jondurbin,jondurbin/bagel-dpo-7b-v0.4
LDCC,LDCC/LDCC-Instruct-Llama-2-ko-13B-v1.5
BarraHome,BarraHome/Wistral-7B-Instruct-v0.3
Deepnoid,Deepnoid/deep-solar-v3.0
almugabo,almugabo/refprocess-tl-v0.1
TencentARC,TencentARC/Mistral_Pro_8B_v0.1
Kukedlc,Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5
decem,decem/Dionysus-Llama-v1.1
h2m,h2m/mhm-7b-v1.3
motherduckdb,motherduckdb/DuckDB-NSQL-7B-v0.1
unaidedelf87777,unaidedelf87777/wizard-mistral-v0.1
model-hub,model-hub/Mistral-7B-Instruct-v0.2
TomGrc,TomGrc/FusionNet_passthrough_v0.1
ambrosfitz,ambrosfitz/neural-history-chat-v1.5
jiandong,jiandong/crimson-embedding-v1.5
NickyNicky,NickyNicky/Mixtral-2x7b-OpenOrca-oasst_top1_2023-08-25-v1.0
rwitz2,rwitz2/go-bruins-v2.1
hywu,hywu/Qwen2idae-16x14B-v1.0
saltlux,saltlux/luxia-21.4b-alignment-v1.0
eriksu,eriksu/heiko-7b-v0.1
mitrashatru,mitrashatru/translate_model_error_v0.4
nocudaexe,nocudaexe/Neural-Dark-Waifu-v0.2
dev7halo,dev7halo/KoSOLAR-10.7B-v0.1
iashchak,iashchak/Mistral-7B-v0.1
pinkyponky,pinkyponky/SOLAR-10.7B-dpo-instruct-tuned-v0.1
santoshdahal,santoshdahal/Mistral-7B-v0.1
mncai,mncai/agiin-11.1B-v0.1
Undi95,Undi95/Mistral-11B-Airoboros-v0.1
DooDooHyun,DooDooHyun/AIFT-Yi-Ko-6B-ao-instruct-all-v0.64
Ahmed107,Ahmed107/nllb200-ar-en_v11.1
meetkai,meetkai/functionary-7b-v2.1
dillfrescott,dillfrescott/amadeus-v0.1
josem7,josem7/Schema-link-SURI-13B-v0.3
ShengHongHaung,ShengHongHaung/medical-everywhere-v0.1
dchatca,dchatca/vistral_economics_QA_v4.2
mcadoo22,mcadoo22/MistralWoolf-7B-Instruct-v0.2
mmnga,mmnga/Mixtral-Extraction-4x7B-Instruct-v0.1
Swisslex,Swisslex/Mixtral-8x7b-DPO-v0.1
tog,tog/TinyLlama-1.1B-Chat-colors-v1.0
sophosympatheia,sophosympatheia/Wizard-Tulu-Dolphin-70B-v1.0
willnguyen,willnguyen/lacda-2-7B-chat-v0.1
mrm8488,mrm8488/limstral-7B-v0.1
theblackhacker,theblackhacker/cono_2_v1.1
ccrains,ccrains/larson-gemma-2b-chinese-v0.1
kidyu,kidyu/Moza-7B-v1.0
YokaiKoibito,YokaiKoibito/Mixtral-8x7B-Instruct-v0.1
azam25,azam25/TinyLlama-Sharded-1.1B-Chat-v1.0
fhai50032,fhai50032/Johan-7B-v0.1
feabries,feabries/TaiwanWordTranslator-v0.1
yashm,yashm/phi2-phrases-finetune-v2.1
2bytescorp,2bytescorp/2b_mt_mistral_7b_ft_ko-en_QLoRA_v0.1
gate369,gate369/BrurryDog-7b-v0.1
Stopwolf,Stopwolf/Mustra-7B-Instruct-v0.1
jd-salinger,jd-salinger/rut5_base_sum_gazeta-finetuned-habr-v2.5
joncchan,joncchan/amgpt-model-v1.0
BlackBeenie,BlackBeenie/mistral-7b-cot-neftune-v0.1
Technonia,Technonia/mistral-7b-cot-neftune-v0.2
npvinHnivqn,npvinHnivqn/phi-1_5-CRL-v0.2
izayashiro,izayashiro/mistralai-HPC-Instruct-v0.2
jwkweon,jwkweon/CUBOX-SOLAR-10.7B-DPO-v0.1
scaledown,scaledown/ScaleDown-7B-slerp-v0.1
phanerozoic,phanerozoic/Mistral-Pirate-7b-v0.3
seedboxai,seedboxai/KafkaLM-7B-DARE_TIES-LaserRMT-QLoRA-DPO-v0.5
URP,URP/URP-Instruct-Polyglot-ko-1.3B-v1.0
MMEX,MMEX/quantized_superhot_wizardLM_13b_v1.1
pszemraj,pszemraj/xtremedistil-l12-h384-uncased-zeroshot-v1.1
Changgil,Changgil/K2S3-SOLAR-11b-v2.0
NeuralNovel,NeuralNovel/Tiger-7B-v0.1
rlsChapters,rlsChapters/Chapters-Mixtral-8x7B-Instruct-v0.1
SQAI,SQAI/distilroberta-base_finetune_v1.1
teilomillet,teilomillet/MiniMerlin-3b-v0.1
perlthoughts,perlthoughts/Mistral-11B-Instruct-v0.2
XavierXin,XavierXin/ChineseLLM_v0.1
kennylam,kennylam/Breeze-7B-Cantonese-v0.1
dfurman,dfurman/GarrulusMarcoro-7B-v0.1
mssma,mssma/mssmako_Solar10.7B_dpo_v0.1
Finnish-NLP,Finnish-NLP/llama-7b-finnish-instruct-v0.2
tjmooney98,tjmooney98/725_tm-setfit-bge-base-en-v1.5
Keynote-Technology,Keynote-Technology/TinyKAI-3B-v0.1
naga-jay,naga-jay/bert-ft-fin-txn-clf-v0.1
NeverSleep,NeverSleep/FlatOrcamaid-13b-v0.2
kasper52786,kasper52786/StoryWeaver-7b-Instruct-v0.1
divinetaco,divinetaco/aranea-ancilla-116b-v1.0
Lambent,Lambent/cosmo-merge-1b-v0.1
blueRab2it,blueRab2it/solar-beam-slerp-v0.1
Anachrono,Anachrono/speaker_identification_mistral_7b_v0.1
DataIntelligenceTeam,DataIntelligenceTeam/pharma_v2.1
Bpole,Bpole/lora_sberhack_v1.0
collij22,collij22/seq-jcpsytar_FT_Mistral-7B-Instruct-v0.1
aligner,aligner/aligner-7b-v1.0
playdev7,playdev7/theseed-v0.3
mervinpraison,mervinpraison/tamil-large-language-model-7b-v1.0
ifuseok,ifuseok/sft-solar-10.7b-v1.1
OpenDFM,OpenDFM/ChemDFM-13B-v1.0
Hvsq,Hvsq/Babylona_v0.1
kalisai,kalisai/Nusantara-2.7b-Indo-Chat-v0.2
neph1,neph1/bellman-7b-mistral-instruct-v0.2
oobabooga,oobabooga/CodeBooga-34B-v0.1
davzoku,davzoku/cria-llama2-7b-v1.3
Edentns,Edentns/DataVortexS-10.7B-v0.2
sundar-pichai,sundar-pichai/TinyLlama-1.1B-v1.0
gizmo-ai,gizmo-ai/Mixtral-8x7B-Instruct-v0.1
lazyDataScientist,lazyDataScientist/Vector-Mistral-7B-v0.2
rntc,rntc/mdeberta-bio-v1.1
4n3mone,4n3mone/KoSOLAR_merge_test_v0.1
liminerity,liminerity/Smaug-slerp-30b-v0.1
suzii,suzii/IX_health_mistral_7b_intrus_lora_v1.3
PoloGGG,PoloGGG/EvolMistral-7B-v0.1
jamesagilesoda,jamesagilesoda/Twindoc-Mistral-7B-Alpha-v0.0
satyroffrost,satyroffrost/FT_Merged_TinyLlama-1.1B-Chat-v1.0
hellomyoh,hellomyoh/mistral_7b_ft_ko-en_v0.1
cookinai,cookinai/Blitz-v0.1
PSanni,PSanni/MPOMixtral-8x7B-Instruct-v0.1
hooking-dev,hooking-dev/Hebrew-mini-GPT_v0.1
JakeTurner616,JakeTurner616/Adonalsium-Mistral-7b-v0.1
HY-KDPARK,HY-KDPARK/llama-2-koen-13b-sft-v0.3
