Owner,model_name
evolusion-ai,evolusion-ai/Evo-70B-v1
kmfoda,kmfoda/sn9-v1
Mik99,Mik99/phi-2_test_07_merged_v2
TaylorAI,TaylorAI/bge-micro-v2
Andron00e,Andron00e/Llama-Translation-Answering-v2
Toten5,Toten5/Marcoroni-neural-chat-7B-v1
nbroad,nbroad/span-marker-roberta-large-orgs-v1
dataeaze,dataeaze/dataeaze-text2sql-codellama_7b_instruct-clinton_text_to_sql_v1
DivyaMereddy007,DivyaMereddy007/RecipeBert_v3
Masa-Erland,Masa-Erland/musang-mistral-7b-v2
superfriends,superfriends/captainplanet-v0
juhwanlee,juhwanlee/experiment2-cause-v1
mesolitica,mesolitica/malaysian-llama2-7b-32k-instructions-v2
occultml,occultml/Helios-10.7B-v2
zlsl,zlsl/l_erotic_chat_v2
nuprl,nuprl/EditCoder-Multi-6.7b-v1
HariLuru,HariLuru/finer_distillbert_v2
FedericoDamboreana,FedericoDamboreana/swissmedical_faqs_classification_v1
ademax,ademax/vispell-small-v3
KaeriJenti,KaeriJenti/kaori-72b-v1
praneshgunner,praneshgunner/gpt2-medical-v1
h-asterix,h-asterix/mistralai-Code-Instruct-Finetune-test-epoch-0.21-nickrosh-Evol-Instruct-Code-80k-v1
hululuzhu,hululuzhu/chinese-poem-t5-v2
samzirbo,samzirbo/mT5-small-finetuned-en-ro-v1
DerartuDG,DerartuDG/resumefine_tuned_mpnet_base_v2
kedudzic,kedudzic/flan_ubuntu_v1
Rohit2Nitwal0,Rohit2Nitwal0/MedoGPT-medium-v1
openvoid,openvoid/Proximus-4x7B-v1
DiscoResearch,DiscoResearch/DiscoLM-mixtral-8x7b-v2
shivanikerai,shivanikerai/Llama-2-7b-chat-hf-review-phrases-sentiments-analysis-v1
sonu2023,sonu2023/Vatax-NeuralHermes-2.5-Mistral-7B-v1
Eric111,Eric111/Mistral-7B-Instruct_v0.2_UNA-TheBeagle-7b-v1
Setiaku,Setiaku/l2-13b-thespurral-v1
Rijgersberg,Rijgersberg/GEITje-7B-chat-v2
Shotaro30678,Shotaro30678/emotion_text_classifier_on_dd_v1
abacusai,abacusai/Giraffe-13b-32k-v3
quissuiven,quissuiven/llama-2-7b-bysjobdesc-v3
atakanince,atakanince/distilbert-base-uncased-turkish-offensiveLanguage-v1
pszemraj,pszemraj/mega-ar-small-4096-wikitext-103-raw-v1
oivlisnet,oivlisnet/Llama-2-7b-chat-finetuned-v2
Buseak,Buseak/md_mt5_base_boun_split_first_v2
jaykmr,jaykmr/ESMCrystal_t6_8M_v1
mondhs,mondhs/llama-2-7b-edtml-v2
kisejin,kisejin/T5-ASQP-v2
vanillaOVO,vanillaOVO/supermario_v1
notbdq,notbdq/mistral-turkish-v2
zioBoe,zioBoe/tinyllama-emo-v1
multimodalai,multimodalai/llama2-13b-bf16-edtech-6k-v1
zhengr,zhengr/MixTAO-7B-v1
Azurro,Azurro/APT3-1B-Instruct-v1
Asteriks,Asteriks/distilbert-cased-reviews-v1
jamiehudson,jamiehudson/725_model_v2
magnolia-psychometrics,magnolia-psychometrics/bandura-v1
harouzie,harouzie/bart-base-paraphrase-v1
mindy-labs,mindy-labs/mindy-7b-v2
Enno-Ai,Enno-Ai/Hodeva-qlora-awq-v1
TheBug95,TheBug95/sumarize_model_pegasus_v1
harborwater,harborwater/open-llama-3b-everything-v2
ZainabF,ZainabF/tinyllama-colorist-v2
Haniwavve,Haniwavve/Cross-Encoder-LLamaIndex-Demo-v2
ENERGY-DRINK-LOVE,ENERGY-DRINK-LOVE/eeve_dpo-v3
Equall,Equall/Saul-Instruct-v1
xDAN-AI,xDAN-AI/xDAN-L1-Chat-RL-v1
juancopi81,juancopi81/lmd-8bars-2048-epochs20_v3
Eurdem,Eurdem/megatron_v1
jtlicardo,jtlicardo/bpmn-information-extraction-v2
blackbird,blackbird/bert-base-uncased-MNLI-v1
ibibek,ibibek/tinyllama-colorist-v2
jvh,jvh/Mistral-Openchat-GEITje-v2
flavour,flavour/vtde-dinov2-small-e5-small-v2
cookinai,cookinai/DonutLM-v1
circulus,circulus/TinyLamb-truthy-dpo-v1
jeevana,jeevana/G8_mistral7b_qlora_1211_v02
aidonuts,aidonuts/speedy-cactus-7575-v2
ba8im,ba8im/phi-2-bash-v0
AIFT,AIFT/AIFT-instruct-SFT-1.3B-refine-v3
CobraMamba,CobraMamba/mamba-gpt-3b-v2
eisenjulian,eisenjulian/matcha-deplot-v2
accavdar,accavdar/layoutlmv3_employee_info_v1
Wiggily,Wiggily/acronyms_clin_notes_finetunedonbugs_v2
GHOFRANEE,GHOFRANEE/mistral7b_ocr_to_json_v1
karahansahin,karahansahin/bert-base-turkish-128k-uncased-type-classification-v0
vidhi0206,vidhi0206/setfit-paraphrase-mpnet-sst5_v2
expruc,expruc/references_v0
laibaazam,laibaazam/fyp-small-v1
inkasaras,inkasaras/Mistral_ecommerce_v2
Falconsai,Falconsai/question_answering_v2
Abe13,Abe13/juniper-all-mpnet-base-v2
nhero,nhero/gpt2-imdb-pos-v2
asadmasad,asadmasad/ds-finetuning-test-v2
objects76,objects76/Llama-2-13b-chat-hf-function-calling-v2
Huyisbeee,Huyisbeee/mBART-for-vi-en-v2
Tordjx,Tordjx/all-MiniLM-L6-v2
TinyPixel,TinyPixel/stablelm-base-alpha-3b-v2
ArtifactAI,ArtifactAI/arxiv-physics-instruct-mistral-7b-v2
RickMartel,RickMartel/GPT2_FT_By_NT_RAND_v11
collabteza,collabteza/Mistral_function-calling-v1
SAGI-1,SAGI-1/testModel_v4_DPO_v1
tavtav,tavtav/mistral-7B-markdown-chat-v2
Erynan,Erynan/gpt2-imdb-pos-v2
quynguyen1704,quynguyen1704/BERT-large-uncased-squad_v2
austinpatrickm,austinpatrickm/finetuned_bge_embeddings_v2
jpherrerap,jpherrerap/ner-roberta-es-clinical-trials-ner_v2
alperengozeten,alperengozeten/bert-turkish-emotion-v2
sdadas,sdadas/polish-roberta-base-v1
Richard-Sieg-TH-Koln,Richard-Sieg-TH-Koln/team4-bert-emotion-uncased_v1
Thefoodprocessor,Thefoodprocessor/distilbert-qa-checkpoint-v5
josedonoso,josedonoso/git-finetuning-bananas-dataset-v1
ruru2701,ruru2701/filmbert_v1
dimpo,dimpo/bert-pretrained-wikitext-2-raw-v1
pcpthm,pcpthm/ic-reverse-v1
hojzas,hojzas/setfit-proj8-all-mpnet-base-v2
jylee420,jylee420/gemma-2b-data-std-v0
SrAlex,SrAlex/llama-2-leyes-peruanas-irn-v2
aserrasastre,aserrasastre/Mistral-7B-v1
SG1123,SG1123/boolq_model_v2
tartuNLP,tartuNLP/EstBERT_NER_v2
APMIC,APMIC/caigun-lora-model-34B-v2
OpenAssistant,OpenAssistant/codellama-13b-oasst-sft-v10
Locutusque,Locutusque/Orca-2-13b-SFT_v5
amdeyk,amdeyk/indiafingptamba-v2
Granoladata,Granoladata/abnormality_classifier_biobert_v1
cappuch,cappuch/gpt2_tiny_textbooks_v1
soltaniali,soltaniali/uncased-clf-digimag_v1
peteryushunli,peteryushunli/distilbert-base-uncased-finetuned-rap-lyrics-v1
helena-balabin,helena-balabin/robbert-v2-dutch-base-ft-nlp-xxl-e2e-v4
0x7o,0x7o/fialka-7B-v2
PatentPilotAI,PatentPilotAI/mistral-7b-patent-instruct-v2
genne,genne/kiwi_solar_merge_slerp_test_v1
liy140,liy140/bert-base-multilingual-uncased_chunk_filter_for_metadata_extraction_v2
SalomonMetre13,SalomonMetre13/nnd_fr_mt_v2
sinonimayzer,sinonimayzer/UzRoBERTa-v1
hkkang0406,hkkang0406/llama2-13b-ko-hk-v2
timpal0l,timpal0l/Mistral-7B-v0.1-flashback-v2
julio2027,julio2027/French_hate_speech_CamemBERT_v3
am-infoweb,am-infoweb/rap_phase2_13dec_10i_v1
tomhodemon,tomhodemon/fever_query_encoder_v4
senseable,senseable/WestLake-7B-v2
hurrey123,hurrey123/physics_identifier_v3
nlpguy,nlpguy/ColorShadow-7B-v2
ankitgu3,ankitgu3/boolq_qg_v1
domie,domie/Viviana_v1
EricPeter,EricPeter/luganda-ner-v6
KoladeOdunope,KoladeOdunope/mistral-v2
ellenhp,ellenhp/osm2vec-bert-v1
Yhyu13,Yhyu13/LMCocktail-phi-2-v1
elliotthwang,elliotthwang/KimLam_dolphin_phi-2-zh_v1
brito-parzivall,brito-parzivall/tinyllama-colorist-lora-v2
ondevicellm,ondevicellm/tinyllama_moe_sft_ultrachat200k_v2
fill-mask,fill-mask/albert-large-v2
jan-hq,jan-hq/mysticoder-v1
Jorgeutd,Jorgeutd/bert-base-uncased-ade-Ade-corpus-v2
eoinf,eoinf/gpt2-small_l4h11_hook_k_c4-tokenized-2b_41943040_v1
ManthanKulakarni,ManthanKulakarni/space_eraser_t5_v0
pkarypis,pkarypis/zephyr-7b-sft-random-50-v2
CohereForAI,CohereForAI/c4ai-command-r-v01
hamxea,hamxea/Mistral-7B-v0.1-activity-fine-tuned-v5
tr416,tr416/mistral-sft-v1
jilp00,jilp00/youtoks-transformers-united-v2-10.7B-v02
emir12,emir12/tinyllama-medical-v1
erickrribeiro,erickrribeiro/absa_model_v1
RMWeerasinghe,RMWeerasinghe/bge-small-en-v1.5-fine-tuned-v0
linvest21,linvest21/OpenHermes-2.5-Mistral-7B_test_v0
lewtun,lewtun/gemma-7b-sft-full-deita-10k-v0
xhub,xhub/cmi-intent-classifier-v2
ashishkgpian,ashishkgpian/astrogalactica_v2
tanmaylaud,tanmaylaud/ret-phi2-v0
David19930,David19930/llama-2-7b-david_v1
PranavInvenics,PranavInvenics/phi2_v3
eolang,eolang/SW-v1
mayacinka,mayacinka/yam-jom-7B-passthrough-v1
fblgit,fblgit/UNA-34BeagleSimpleMath-32K-v1
ahessamb,ahessamb/distilroberta-base-sentence-transformer-sbert-10epoch-200perp-v1
tmdduq,tmdduq/komt-mistral-7b-v1-dpo-osy-v1
adriata,adriata/calc_mistral_v2
joedonino,joedonino/distilbert-base-uncased-finetuned-events-v6
vakyansh,vakyansh/gemma-2b-test-it-hi-v001
dontgive99,dontgive99/deberta-v3-base-korean-squad_kor_v1
allistair99,allistair99/tinybert-6l-768d-squad2-finetuned-SRH-v1
pig4431,pig4431/xlm-roberta-HeQ-v1
iamplus,iamplus/Llama-2-70b-hf-ChatOrca-v1
stabilityai,stabilityai/stablelm-base-alpha-3b-v2
Finnish-NLP,Finnish-NLP/llama-3b-finnish-v2
tony4194,tony4194/distilBERT-infoExtract-v2
NaoS2,NaoS2/tinycodellama-jp-0.6b-25k-v2
yoonyoon,yoonyoon/kb_v1
dillfrescott,dillfrescott/silicon-maid-7b-x8-MoE-v2
lukasdrg,lukasdrg/clinical_longformer_new_tokens_v2
LuuNgoc2k2,LuuNgoc2k2/Law-Llama-v1
DopeorNope,DopeorNope/maestralo-v2
prashant852,prashant852/t5-base-finetuned-xsum-v2
Jiahuan,Jiahuan/vox-finetune-llama-2-7b-chat-v2
BinJaw,BinJaw/orca_mini_3b_finetuned_v3
uproai,uproai/ros-7b-v1
ECOFRI,ECOFRI/CXR-LLAVA-v2
moriire,moriire/medical-chat-v0
user3542384468,user3542384468/thevoid-v0
shivansh-jain,shivansh-jain/mistral_7b_instruct_fiery_v5
hflserdaniel,hflserdaniel/chai_s6_13b_v2
detakarang,detakarang/mistsql-v0
SuvajitGB,SuvajitGB/rollercoaster_emotions_v2
Jungtek,Jungtek/llama2-fine-tuned-apr-v2
ManthanCisco,ManthanCisco/phi_Text2SQL_v1
ArjanvD95,ArjanvD95/munchhausen_v1
francesco-vo,francesco-vo/bert_model_v2
OpenBuddy,OpenBuddy/openbuddy-llama2-13b64k-v15
callmyname,callmyname/mt5-small-finetuned-kde4-en-to-it-v2
gogamza,gogamza/kobart-base-v1
bharatwwt,bharatwwt/llama-13b-v1
Kaleen,Kaleen/kullm-polyglot-5.8b-2gb-v2
MicroHealth,MicroHealth/Pathfinder-3b-v2
ALEXIOSTER,ALEXIOSTER/gpt2-imdb-pos-v2
katydeng,katydeng/katy_v3
avsolatorio,avsolatorio/GIST-large-Embedding-v0
EasyTerms,EasyTerms/etsummerizer_v2
logicker,logicker/SkkuDataScience-Qwen14B-v1
ahdsoft,ahdsoft/persian-sentence-transformer-news-wiki-pairs-v3
dvilasuero,dvilasuero/Distilabel-OpenHermes-2.5-Mistral-7B-v2
Kishan11,Kishan11/nepali-summry-v2
SoyLuzia,SoyLuzia/classifier_v5
Sao10K,Sao10K/Solstice-Mixtral-v1
mateussj,mateussj/tinyllama-moe-2x1.1B_v2
blueapple8259,blueapple8259/TinyKoWiki-v1
JoaoJunior,JoaoJunior/T5_APR_java_python_v4
dzagardo,dzagardo/quickstart_newdp_eps100_v2
shredder-31,shredder-31/QG_v2
halilibr,halilibr/tinyLlama-avansas-english-model-v1
BartekTantusData,BartekTantusData/paraphrase-multilingual-mpnet-base-v2-cos-scheduler-deduplicated-generated-data-v3
jjovalle99,jjovalle99/deci7b-ft-lora-sql-v2
Hamza11,Hamza11/shahajbert_nwp_finetuning_def_v1
sumo43,sumo43/Yi-34b-x2-v2
Conrad747,Conrad747/luganda-ner-v6
mncai,mncai/mistral-7b-dpo-v6
eriksu,eriksu/heiko-7b-instruct-v2
quastrinos,quastrinos/daigt-finetuned-transformer-v1
AnonymousFILLER,AnonymousFILLER/CodeT5_SoTitle_self_improve_f1_v2
fekpghojezpoh,fekpghojezpoh/sarcasm_BARThez_v2
datatab,datatab/Yugo55-GPT-v4
t-dai-con,t-dai-con/gpt-fine-tuned-v2
Chat-Error,Chat-Error/Kimiko-10.7B-v3
chethan999,chethan999/legal-bert-v1
syeda-raisa,syeda-raisa/bangla_idiom_paraphrase_v1
kabir5297,kabir5297/deberta_v3_ner_v1
Undi95,Undi95/ReMM-L2-13B-v1
liminerity,liminerity/Mem-Beagle-7b-slerp-v1
samir-fama,samir-fama/FernandoGPT-v1
sabayo,sabayo/Marcaps-GPT-ft-v2
aniello19,aniello19/mistral_fervento_v1
AlignmentResearch,AlignmentResearch/robust_llm_pythia-imdb-14m-mz-v0
paulml,paulml/OmniBeagleSquaredMBX-v3-7B-v2
fedihamdi,fedihamdi/tinyllama-fedi-v1
EuropeanParliament,EuropeanParliament/eubert_cross-encoder_v1
Deepnoid,Deepnoid/mergekit_v2
WeeRobots,WeeRobots/phi-2-chat-v05
ababeal,ababeal/e5-large-v2
bharathirajan89,bharathirajan89/gemma-7b-it-2GB-shards-4bit-v1
emersoftware,emersoftware/beto-st-msmarco-es-mnrl-v2
ibivibiv,ibivibiv/webby_whale_33b_v1
NareshSandrugu,NareshSandrugu/telugu_gpt2_newtokens_v1
biololab,biololab/clinical_document_summarization_v2
jojo0217,jojo0217/SFT_12.8B_mk2_v2
SeaLLMs,SeaLLMs/SeaLLM-7B-v2
versae,versae/gzipbert_imdb_rpe_250k_v4
manishiitg,manishiitg/open-aditi-hi-v1
bobbyw,bobbyw/copilot_relex_v1
dinesHawk86,dinesHawk86/t5-small-mnews_v2
hyeogi,hyeogi/Yi-9b-v1
jjourney1125,jjourney1125/llama2-13b-v1
Minata,Minata/reduced_ast_method2test-codegen-350M_v1
leeeed,leeeed/mistralai-qa-Instruct-Finetune-v02
konsman,konsman/setfit-messages-label-v2
ManojAlexender,ManojAlexender/Finetuned_Final_LM_200k_v2
TheHappyDrone,TheHappyDrone/DialoGPT-medium-Nexus-Nova-turing-v2
kalyanmaram,kalyanmaram/UNH-QA-bloom-560m-v2
sethuiyer,sethuiyer/Chikuma_10.7B_v2
