Owner,model_name
doubledsbv,doubledsbv/KafkaLM-7B-DARE_TIES-v0.5
praveengovi,praveengovi/NeuralPipe-7B-slerp-2
alicekwak,alicekwak/setfit-excuse
FINETUNERMYSTRAL,FINETUNERMYSTRAL/mmistral-supervised-ft-1epochs
moficodes,moficodes/gemma-2b-sql-container-day-live
Bi0ll0,Bi0ll0/PPLtest_mistral_7b
lokesh2002,lokesh2002/t5-small-finetuned-mydata
stmnk,stmnk/codet5-small-code-summarization-python
lrakotoson,lrakotoson/scitldr-catts-xsum-ao
cassanof,cassanof/maestrale-gazzetta-si1000
Akarsh3053,Akarsh3053/potter-chat-bot
eReverter,eReverter/bert-finetuned-squad
iMahdiGhazavi,iMahdiGhazavi/NLP_HF_Workshop
nnpy,nnpy/Nape-0
magnetic,magnetic/zephyr-7b-sft-full
JairoDanielMT,JairoDanielMT/Llama2-Fine-Tuning-python-codes-25k
onionLad,onionLad/medlid-bySent-BRAT
Diiiann,Diiiann/ru_oss
SG1123,SG1123/boolq_model
monumalu,monumalu/my_awesome_qa_model
severinsimmler,severinsimmler/literary-german-bert
dvinodwagh,dvinodwagh/my_model
ilanPar,ilanPar/my_awesome_model
Kukedlc,Kukedlc/NeuralPipe-7B-slerp
nccsnlp,nccsnlp/zephyr-7b-beta_ct_prompt1b_ft200_v1_merged
jphme,jphme/em_german_7b_leo_gptq
lmaccarini,lmaccarini/url-v1
Kemal12,Kemal12/model1233
Tony068,Tony068/wiki-10M
clips,clips/robbert-2023-dutch-base-gender
Fihade,Fihade/Mistral-7B-Instruct-v0.2-q
kruthof,kruthof/climateattention-10k
ybelkada,ybelkada/test-dynamic-model-with-tags
TecnicaLLM,TecnicaLLM/gemma-2b-dolly1k-qlora-merged
hotdogs,hotdogs/open-uka-v1-7B
wisdomfunction,wisdomfunction/GPT-Guide
Red-8,Red-8/Gujarati_NER
acctouhou,acctouhou/mix_jnm
valentaine98,valentaine98/prosept_ser
fong33,fong33/NeuralPipe-7B-slerp
Kashifdevgpt786,Kashifdevgpt786/Gemma2bFinetunned
wasertech,wasertech/assistant-dolphin-2.2.1-mistral-7b-e1-awq
giraffe176,giraffe176/WestMaid_HermesMonarchv0.1
mohammedRiad,mohammedRiad/flant5-summaryModel
Heitechsoft,Heitechsoft/FalconAlpaca-7B
lemonilia,lemonilia/Ashhwriter-Mistral-7B
hilaltekgoz,hilaltekgoz/paraphrase
ubaskota,ubaskota/my_eli5_mlm_model
mzio,mzio/hedgehog-alpaca_clean_mistral-mistral_7b_lk_esn_tqk_lora-lk_untied_head-lsc_1
skykyky,skykyky/t5-small-finetuned-xsum
gerulata,gerulata/slovakbert
gangyeolkim,gangyeolkim/kobart-korean-summarizer-v2
brian-lim,brian-lim/smile-style-transfer
ajain6,ajain6/my_awesome_generation_model
ChengZ2003,ChengZ2003/my_awesome_model_classification_w_adapter
Maminirina1,Maminirina1/my_awesome_model
petals-team,petals-team/falcon-rw-1b
Jass07,Jass07/fine-tuned-22
UnstableJeje,UnstableJeje/stability_7b_opus_ja_en_finetune_test
akashAD,akashAD/phi-1_5-finetuned-query-classify
emohammadi97,emohammadi97/mlm
Li,Li/roberta-base-squad2
khygopole,khygopole/NLP_HerbalMultilabelClassification
Hasanur525,Hasanur525/deed-summarization
abdiharyadi,abdiharyadi/IndoT5-base-nafkhan-epochs-1
napatswift,napatswift/ner_model
mideind,mideind/IceBERT-mC4-is
Kaldirth,Kaldirth/bart-large-cnn-eur-lex-sum
agsc,agsc/scibert-bf16-acceptance
CodeGPTPlus,CodeGPTPlus/deepseek-coder-1.3b-typescript
cstr,cstr/Spaetzle-v6-7b
Devden,Devden/Llama2
puvrocks27,puvrocks27/yugioh-semantic-search
hiert,hiert/berttest
mohammedRiad,mohammedRiad/flant5-summaryModel
kbmurali,kbmurali/gpt2-qa-v2-example
engmufic,engmufic/distilgpt2-finetuned-wikitext2
egalize,egalize/pegasus-sum
Kielak2,Kielak2/calculator_model_test
hashimrazi9,hashimrazi9/nato-chat
yehoshuadiller,yehoshuadiller/my_wnut_model
gapendl,gapendl/geronimo-base
devakumar-g,devakumar-g/gemma-2b-finetune-qlora-chatdoctor
ZL92,ZL92/my_awesome_eli5_clm-model
AiresPucrs,AiresPucrs/distilbert-base-cased-sentiment-classifier
balzanilo,balzanilo/UMLSBert_ENG
sonthenguyen,sonthenguyen/OpenHermes-2.5-Mistral-7B-mt-bench-DPO-recovered-v2
boun-tabi-LMG,boun-tabi-LMG/turna_title_generation_mlsum
Nhhhhhh,Nhhhhhh/result
pgajo,pgajo/mdeberta-xlwa-en-it
Shakhovak,Shakhovak/t5-base-sheldon-chat
nuprl,nuprl/code-scorer-edu-v1
AiMavenAi,AiMavenAi/Prometheus-1.3
masonbarnes,masonbarnes/discord-message-classifier
Luukdejong123,Luukdejong123/bert-finetuned-ner
jiogenes,jiogenes/xlm-roberta-base-finetuned-panx-de
sheikhfoysal,sheikhfoysal/chatEDU
timdpaep,timdpaep/training_api_casual_language_modeling
beowolx,beowolx/CodeNinja-1.0-OpenChat-7B
PerRing,PerRing/Yi-Ko-6x2B-v1
younoger,younoger/autotrain-9ivqc-q56ii
ChenMnZ,ChenMnZ/Mixtral-8x7B-v0.1-OmniQuantv1-w4a16g128
Sabreen88,Sabreen88/wildfire-XLNet
marialcasimiro,marialcasimiro/tatoeba-opus-2021-02-22-fra-eng
ken70,ken70/kawayi-34b
vandijklab,vandijklab/pythia-160m-c2s
MahmoudMohamed,MahmoudMohamed/LLama_passthrough
relu-ntnu,relu-ntnu/henrik_bruh_testing
Seoulsky,Seoulsky/KoBART_jeju_dialect
Konthee,Konthee/CLIPTextCamembertModelWithProjection
Leonardolin,Leonardolin/MLM-for-Stock
sc-ai,sc-ai/snippet-embeddings-v2
SiddhanthRaja,SiddhanthRaja/flan-t5-base-samsum-spotify-podcasts
MNC-LLM,MNC-LLM/batch1_epochs4_lr1e-05_paged_adamw_32bit_cosine_length2048_warmup_0.05_max_grad1.0_grad_accu32
hanifsyarubany10,hanifsyarubany10/gemma-Code-Instruct-Finetune-test
kykim0,kykim0/Llama2-2e-data-gemma-7b-rm-1e
Novocoders,Novocoders/Mistral-NeuralDPO-v0.6
csdc-atl,csdc-atl/Baichuan2-13B-Chat-GPTQ-Int4
Langboat,Langboat/mengzi-bert-base-fin
psyche,psyche/KoT5-paraphrase-generation
pricklypear,pricklypear/finetuning-sentiment-model-3000-samples
klein-zcy,klein-zcy/Phi-1_5-MetaMathQA
gaotianyu1350,gaotianyu1350/decontextualizer-t5-3b
arjunraghunandanan,arjunraghunandanan/intel-huggingface-workshop-bot
Amey91,Amey91/test_1
jiogenes,jiogenes/xlm-roberta-base-finetuned-panx-de
shirleylqs,shirleylqs/mistral-snomed-classification
tartuNLP,tartuNLP/EstRoBERTa
MaryEG,MaryEG/emotion-english-distilroberta-base
firelzrd,firelzrd/Xwin-LM-70B-V0.1-fp16-safetensors
charqican,charqican/nominal-groups-recognition-bert-base-spanish-wwm-cased
SyedSherjeel,SyedSherjeel/gpt2-sharegpt
mavihsrr,mavihsrr/GetCode-slerp
moneyforward,moneyforward/houou-instruction-7b-v3
Tetsuo01,Tetsuo01/FoodMenuNERModel
xverse,xverse/XVERSE-13B
NTIS,NTIS/KoRnDAlpaca-RAG-Polyglot-12.8B
GeneZC,GeneZC/MiniChat-3B
cclee516888er,cclee516888er/TLLM01
jizzu,jizzu/LegalDialo-small-v1
jbinek,jbinek/model
xzyao,xzyao/openllama-3b-chat
Kamyar-zeinalipour,Kamyar-zeinalipour/mistral7b-protgen
garrettbaber,garrettbaber/twitter-roberta-base-sadness-intensity
vini12,vini12/blip-image-captioning-base-galaxy
bachbouch,bachbouch/phi-1_5-finetuned-hr
roneneldan,roneneldan/TinyStories-3M
Posos,Posos/ClinicalNER
giraffe176,giraffe176/WestMaid_HermesMonarchv0.1
ARTeLab,ARTeLab/mbart-summarization-mlsum
MoritzLaurer,MoritzLaurer/DeBERTa-v3-small-mnli-fever-docnli-ling-2c
Shooosh,Shooosh/Llama-2-13b-finetune-test2
diegoale1248,diegoale1248/finetuned-bert-categories-estimation
budecosystem,budecosystem/Boomer-4b
Saphbn,Saphbn/distilroberta-base-finetuned-energy-tweets-fullsample
El-chapoo,El-chapoo/Super_Mixtral
retinol,retinol/llama-2-7b-psy-chat
gvishnu,gvishnu/legalfiber
lsmrn,lsmrn/flan-t5-small-samsum
catpawdev,catpawdev/gpt2_qa_finetuned
ukr-models,ukr-models/uk-punctcase
dengjun,dengjun/llama-13b
anonymous4chan,anonymous4chan/llama-2-13b
warmimi,warmimi/finetuning-sentiment-model-3000-samples
ikevinova,ikevinova/llama-2-7b-finetuned
GroNLP,GroNLP/mdebertav3-subjectivity-dutch
cboyallian,cboyallian/Julio-Cortazar
csarron,csarron/roberta-base-squad-v1
chayankb,chayankb/chayankb_model_checkpoints
swardiantara,swardiantara/drone-term-extractor
pjkarmokar,pjkarmokar/sql-classification-llama-2-7b-test
Xavarary,Xavarary/my_awesome_eli5_mlm_model
Farhang87,Farhang87/phi-2-samsum
lmestar,lmestar/T5Model_for_Ecommerce
Keynote-Technology,Keynote-Technology/TinyKAI-0.7B-v0.1
Writer,Writer/palmyra-med-20b
severcorp,severcorp/mix
hoangthethief,hoangthethief/best_model
VictorNGomes,VictorNGomes/pegasus-dailymail-pt-br
AlexanderHolmes0,AlexanderHolmes0/Llama-2-7b-hf-sentiment-2
deepbrain,deepbrain/phi2-gsm8k-single-prompt-temperature-training
macavins,macavins/DialoGPT-medium-Morty
syafiqfaray,syafiqfaray/indobert-model-ner
gjyotk,gjyotk/results
peterjwms,peterjwms/gc_model
sreeramajay,sreeramajay/TinyLlama-1.1B-step-1431k-orca-dpo-v1.0
nisten,nisten/shqiponja-90b
cloudversia,cloudversia/Cloudversia-Thor-7B
nirantk,nirantk/SPLADE_PP_en_v1
quickstep3621,quickstep3621/llama-4
mixtralyanis,mixtralyanis/flant5-opensource-and-tuned
tsubakiky,tsubakiky/distilbert-base-uncased-finetuned-clinc
MostafaDorrah,MostafaDorrah/Magicdeep_7b_ultimite_chatbot
Fizzarolli,Fizzarolli/sappha-2b-v1
XanderJC,XanderJC/gpt2-rm-tldr
FilippoLampa,FilippoLampa/my_awesome_model
Nhhhhhh,Nhhhhhh/result
Weni,Weni/WeniGPT-2.0.1-Zephyr-7B-bits_and_bytes-AWQ-dataset-llm-base-1.0.1
Animesh001,Animesh001/mistral-7b-instruct-4bit
Camillahannesbo,Camillahannesbo/Camillas_bert_model
Tetsuo01,Tetsuo01/FoodMenuNERModel
CodeIsAbstract,CodeIsAbstract/denoice-finetuned-xsum
duanyu027,duanyu027/gpt2xl-reward-pointwise-v1.1
tiennn,tiennn/finetuning-sentiment-model
AhmedAE,AhmedAE/t5-arabic-text-summarization-finetuned-xsum
Endevor,Endevor/EndlessRP-v2-7B
Siddartha10,Siddartha10/gemma-2b-quantized
itsliupeng,itsliupeng/Mixtral-8x7B-v0.1-top3
Giuggiola01,Giuggiola01/distilbert-base-uncased-finetuned-cola
Vaibhav-rm,Vaibhav-rm/GPT2-Shri-v1
Wahlaalne,Wahlaalne/NeuralPipe-7B-slerp
realPCH,realPCH/240102_test_2
LeBruse,LeBruse/distilbert-base-uncased-finetuned-emotion-overall-2nd
hiendang7613,hiendang7613/xlmr-lstm-crf-resume-ner2
ladoza03,ladoza03/xlm-roberta-base-finetuned-panx-en-nlp
Bugabooo30,Bugabooo30/bert-finetuned-ner
flysaurus,flysaurus/flan-t5-base-samsum
Lollitor,Lollitor/AccentoCheckpoint
Rinchindugar,Rinchindugar/my_awesome_opus_books_model
allstax,allstax/shorts-bad-v0.0.1
mschiesser,mschiesser/ner-bert-german
apekshik,apekshik/flan-t5-small-samsum
Keshwaran,Keshwaran/Llama-2-7B
Sombressoul,Sombressoul/Yi-34B-200K-AWQ
octa-cba,octa-cba/bert_adaptation_martin_fierro
Adithya7Shankar,Adithya7Shankar/git-base-coco-pokemon
IconicAI,IconicAI/all-mpnet-janet-10k-v1
DanielWWW,DanielWWW/finetuning-sentiment-model
pranaydeeps,pranaydeeps/Ancient-Greek-BERT
navazpv,navazpv/finetuning-sentiment-model-3000-samples
mjm4dl,mjm4dl/ps_intent_7b_r16
meanderingmagi,meanderingmagi/Vicuna-7b
giux78,giux78/gemma-2b-sft-ita
hbakrim,hbakrim/hierarchy_mistral_7b_v0.1
SUMEDH91,SUMEDH91/my_awesome_wikitext-model
BobaZooba,BobaZooba/WGPT
iamkhadke,iamkhadke/nlp2sql
Leon-LLM,Leon-LLM/Leon-Chess-71k
sebastiencormier,sebastiencormier/my_awesome_model
lujstn,lujstn/security-code-detector-semisupervised
goldenrooster,goldenrooster/multilingual-e5-large
SherrySTATS92,SherrySTATS92/trial-model
person1of2interest,person1of2interest/concepts-finetuned-bert
daedalus16,daedalus16/bert-M1-textclassification
NopparujP,NopparujP/my_awesome_model
krisf85,krisf85/myft
pysentimiento,pysentimiento/robertuito-pos
cbdb,cbdb/PersonAndBookTitleSplitter
szerinted,szerinted/roberta-large-lora-token-classification
idkgaming,idkgaming/t5-small-finetuned-samsum
kkngan,kkngan/testing
tkister,tkister/autotrain-news-paper-75687140071
houdini001,houdini001/nep-spell-mbart-epoch1
DevarshRaj,DevarshRaj/mistral-7b
augmxnt,augmxnt/shisa-gamma-7b-v1
akhooli,akhooli/gpt2-small-arabic
Buuhzerah,Buuhzerah/gemma-code-2b-instruct-finetune-test
GavinQiangLi,GavinQiangLi/codeparrot-ds
jiyonghug,jiyonghug/dash_nlp_bert_new_share_0223
kabir77,kabir77/lilt-en-funsd
mxy680,mxy680/sentiment-model
yaochung,yaochung/antifungal-linguist
dabitbol,dabitbol/bge-m3-sparse-elastic
alk,alk/roberta-large-mnli-finetuned-header-classifier
Pasta5634,Pasta5634/bert-finetuned-ner
TPoorthuis,TPoorthuis/distilbert-base-uncased-finetuned-cola
gundruke,gundruke/da_bert_sentiment_analysis
StaticOwl,StaticOwl/Flan-t5-Model
0m,0m/llama_base
emarron,emarron/JARVIS-email-sorter
